Nr.,Kodas,"Įmonės, įstaigos pavadinimas",Addresas,Latitude,Longitude,Įmonės / įstaigos kontaktinis telefonas,Įmonės / įstaigos el. paštas,Įmonės / įstaigos tinklapio adresas
1,235014830,AB „Kauno energija“,"Raudondvario pl. 84, Kaunas, Lithuania",54.907594,23.872995,30 56 50,info@kaunoenergija.lt,http://www.kaunoenergija.lt/
2,133154754,UAB „Kauno autobusai“,"Raudondvario pl. 105, Kaunas, Lithuania",54.907017,23.869302,36 25 09,administracija@kaunoautobusai.lt,http://www.kaunoautobusai.lt/
3,132751369,UAB „Kauno vandenys“,"Aukštaičių g. 43, Kaunas, Lithuania",54.902638,23.926846,30 17 01,ofisas@kaunovandenys.lt,https://www.kaunovandenys.lt/
4,132616649,UAB „Kauno švara“,"Statybininkų g. 3, Kaunas, Lithuania",54.920127,23.947304,31 43 23,info@svara.lt,http://www.svara.lt/
5,132684155,UAB „Kauno gatvių apšvietimas“,"Ringuvos g. 59, Kaunas, Lithuania",54.867268,23.951905,40 02 40,info@kaunosviesa.lt,http://www.kaunogatviuapsvietimas.lt/
6,133370321,UAB „Kauno aikštelė“,"V. Krėvės pr. 42, Kaunas, Lithuania",54.917659,23.969113,8 650 74558,kaunoaikstele@gmail.com,http://kaunoaikstele.lt/
7,233923260,UAB „Stoties turgus“,"M. K. Čiurlionio g. 25B, Kaunas, Lithuania",54.88768,23.932147,"22 48 82, 22 05 26,                      ",direkcija@stotiesturgus.lt,http://www.stotiesturgus.lt/
8,133607044,UAB „Centrinis knygynas“,"Laisvės al. 81, Kaunas, Lithuania",54.897438,23.908745,22 31 01,centrinisknygynas@gmail.com,---
9,135641038,UAB Laboratorinių bandymų centras,"R. Kalantos g. 85A, Kaunas, Lithuania",54.895676,23.998789,45 77 72,lbc@lbc.lt,http://lbc.lt/
10,132532496,UAB Kauno butų ūkis,"Chemijos g. 18, Kaunas, Lithuania",54.902095,23.987773,35 03 64,info@kbu.lt,http://kbu.lt/
11,132626180,Kauno SĮ „Kapinių priežiūra“,"Savanorių pr. 347 , Kaunas, Lithuania",54.922489,23.955849,20 89 54,info@kaunokapiniuprieziura.lt,http://kaunokapiniuprieziura.lt/
12,133810450,Kauno SĮ „Kauno planas“,"Kęstučio g. 66A, Kaunas, Lithuania",54.895921,23.910629,22 01 46,info@kaunoplanas.lt,http://kaunoplanas.lt/
13,135502259,VšĮ „Kauno miesto aplinkos kokybės tyrimai“,"Vileikos g. 8-128, Kaunas, Lithuania",54.894397,23.951656,45 33 22                                                8 677 79606,j.kameneckas@gmail.com,http://193.219.38.28/
